GEOID,NAME,variable,value,gender,age_band,race
53,Washington,P012A005,157823,Male,0-15,White
54,West Virginia,P012A005,51074,Male,0-15,White
55,Wisconsin,P012A005,153855,Male,0-15,White
56,Wyoming,P012A005,16177,Male,0-15,White
72,Puerto Rico,P012A005,102571,Male,0-15,White
01,Alabama,P012A006,64108,Male,16-34,White
02,Alaska,P012A006,9479,Male,16-34,White
04,Arizona,P012A006,89329,Male,16-34,White
05,Arkansas,P012A006,43406,Male,16-34,White
06,California,P012A006,440484,Male,16-34,White
08,Colorado,P012A006,78114,Male,16-34,White
09,Connecticut,P012A006,57031,Male,16-34,White
10,Delaware,P012A006,11441,Male,16-34,White
11,District of Columbia,P012A006,1106,Male,16-34,White
12,Florida,P012A006,246448,Male,16-34,White
13,Georgia,P012A006,113580,Male,16-34,White
15,Hawaii,P012A006,3607,Male,16-34,White
16,Idaho,P012A006,30551,Male,16-34,White
17,Illinois,P012A006,185326,Male,16-34,White
18,Indiana,P012A006,114731,Male,16-34,White
19,Iowa,P012A006,56357,Male,16-34,White
20,Kansas,P012A006,49244,Male,16-34,White
21,Kentucky,P012A006,76257,Male,16-34,White
22,Louisiana,P012A006,54038,Male,16-34,White
23,Maine,P012A006,24724,Male,16-34,White
24,Maryland,P012A006,65818,Male,16-34,White
25,Massachusetts,P012A006,101829,Male,16-34,White
26,Michigan,P012A006,164647,Male,16-34,White
27,Minnesota,P012A006,90720,Male,16-34,White
28,Mississippi,P012A006,33751,Male,16-34,White
29,Missouri,P012A006,99136,Male,16-34,White
30,Montana,P012A006,17116,Male,16-34,White
31,Nebraska,P012A006,31636,Male,16-34,White
32,Nevada,P012A006,32845,Male,16-34,White
33,New Hampshire,P012A006,26322,Male,16-34,White
34,New Jersey,P012A006,123677,Male,16-34,White
35,New Mexico,P012A006,27658,Male,16-34,White
36,New York,P012A006,246101,Male,16-34,White
37,North Carolina,P012A006,119981,Male,16-34,White
38,North Dakota,P012A006,11246,Male,16-34,White
39,Ohio,P012A006,195200,Male,16-34,White
40,Oklahoma,P012A006,49904,Male,16-34,White
41,Oregon,P012A006,59349,Male,16-34,White
42,Pennsylvania,P012A006,203608,Male,16-34,White
44,Rhode Island,P012A006,16033,Male,16-34,White
45,South Carolina,P012A006,55446,Male,16-34,White
46,South Dakota,P012A006,13857,Male,16-34,White
47,Tennessee,P012A006,94893,Male,16-34,White
48,Texas,P012A006,384143,Male,16-34,White
49,Utah,P012A006,55431,Male,16-34,White
50,Vermont,P012A006,12055,Male,16-34,White
51,Virginia,P012A006,104255,Male,16-34,White
53,Washington,P012A006,100161,Male,16-34,White
54,West Virginia,P012A006,32553,Male,16-34,White
55,Wisconsin,P012A006,97849,Male,16-34,White
56,Wyoming,P012A006,10043,Male,16-34,White
72,Puerto Rico,P012A006,64386,Male,16-34,White
01,Alabama,P012A007,44969,Male,16-34,White
02,Alaska,P012A007,6278,Male,16-34,White
04,Arizona,P012A007,62943,Male,16-34,White
05,Arkansas,P012A007,30573,Male,16-34,White
06,California,P012A007,308215,Male,16-34,White
08,Colorado,P012A007,55499,Male,16-34,White
09,Connecticut,P012A007,35886,Male,16-34,White
10,Delaware,P012A007,8669,Male,16-34,White
11,District of Columbia,P012A007,4053,Male,16-34,White
12,Florida,P012A007,174232,Male,16-34,White
13,Georgia,P012A007,77953,Male,16-34,White
15,Hawaii,P012A007,3546,Male,16-34,White
16,Idaho,P012A007,19580,Male,16-34,White
17,Illinois,P012A007,123528,Male,16-34,White
18,Indiana,P012A007,81530,Male,16-34,White
19,Iowa,P012A007,41067,Male,16-34,White
20,Kansas,P012A007,34237,Male,16-34,White
21,Kentucky,P012A007,52331,Male,16-34,White
22,Louisiana,P012A007,37553,Male,16-34,White
23,Maine,P012A007,17311,Male,16-34,White
24,Maryland,P012A007,44289,Male,16-34,White
25,Massachusetts,P012A007,74930,Male,16-34,White
26,Michigan,P012A007,113815,Male,16-34,White
27,Minnesota,P012A007,59712,Male,16-34,White
28,Mississippi,P012A007,24760,Male,16-34,White
29,Missouri,P012A007,69265,Male,16-34,White
30,Montana,P012A007,12108,Male,16-34,White
31,Nebraska,P012A007,22262,Male,16-34,White
32,Nevada,P012A007,21197,Male,16-34,White
33,New Hampshire,P012A007,17883,Male,16-34,White
34,New Jersey,P012A007,74332,Male,16-34,White
35,New Mexico,P012A007,18828,Male,16-34,White
36,New York,P012A007,174934,Male,16-34,White
37,North Carolina,P012A007,87269,Male,16-34,White
38,North Dakota,P012A007,9992,Male,16-34,White
39,Ohio,P012A007,134491,Male,16-34,White
40,Oklahoma,P012A007,37041,Male,16-34,White
41,Oregon,P012A007,41740,Male,16-34,White
42,Pennsylvania,P012A007,149301,Male,16-34,White
44,Rhode Island,P012A007,14020,Male,16-34,White
45,South Carolina,P012A007,44277,Male,16-34,White
46,South Dakota,P012A007,10028,Male,16-34,White
47,Tennessee,P012A007,65374,Male,16-34,White
48,Texas,P012A007,256871,Male,16-34,White
49,Utah,P012A007,36901,Male,16-34,White
50,Vermont,P012A007,10008,Male,16-34,White
51,Virginia,P012A007,74123,Male,16-34,White
53,Washington,P012A007,68934,Male,16-34,White
54,West Virginia,P012A007,23987,Male,16-34,White
55,Wisconsin,P012A007,67271,Male,16-34,White
56,Wyoming,P012A007,7214,Male,16-34,White
72,Puerto Rico,P012A007,42885,Male,16-34,White
01,Alabama,P012A008,22527,Male,16-34,White
02,Alaska,P012A008,3517,Male,16-34,White
04,Arizona,P012A008,31391,Male,16-34,White
05,Arkansas,P012A008,15499,Male,16-34,White
06,California,P012A008,156136,Male,16-34,White
08,Colorado,P012A008,27976,Male,16-34,White
09,Connecticut,P012A008,17342,Male,16-34,White
10,Delaware,P012A008,4453,Male,16-34,White
11,District of Columbia,P012A008,2581,Male,16-34,White
12,Florida,P012A008,88406,Male,16-34,White
13,Georgia,P012A008,38906,Male,16-34,White
15,Hawaii,P012A008,2840,Male,16-34,White
16,Idaho,P012A008,8872,Male,16-34,White
17,Illinois,P012A008,60613,Male,16-34,White
18,Indiana,P012A008,40648,Male,16-34,White
19,Iowa,P012A008,20847,Male,16-34,White
20,Kansas,P012A008,17578,Male,16-34,White
21,Kentucky,P012A008,26075,Male,16-34,White
22,Louisiana,P012A008,19196,Male,16-34,White
23,Maine,P012A008,8160,Male,16-34,White
24,Maryland,P012A008,22361,Male,16-34,White
25,Massachusetts,P012A008,37921,Male,16-34,White
26,Michigan,P012A008,55382,Male,16-34,White
27,Minnesota,P012A008,29423,Male,16-34,White
28,Mississippi,P012A008,12062,Male,16-34,White
29,Missouri,P012A008,34030,Male,16-34,White
30,Montana,P012A008,6059,Male,16-34,White
31,Nebraska,P012A008,11334,Male,16-34,White
32,Nevada,P012A008,10686,Male,16-34,White
33,New Hampshire,P012A008,8794,Male,16-34,White
34,New Jersey,P012A008,35016,Male,16-34,White
35,New Mexico,P012A008,9267,Male,16-34,White
36,New York,P012A008,89345,Male,16-34,White
37,North Carolina,P012A008,45452,Male,16-34,White
38,North Dakota,P012A008,5766,Male,16-34,White
39,Ohio,P012A008,65212,Male,16-34,White
40,Oklahoma,P012A008,18852,Male,16-34,White
41,Oregon,P012A008,20841,Male,16-34,White
42,Pennsylvania,P012A008,73724,Male,16-34,White
44,Rhode Island,P012A008,7291,Male,16-34,White
45,South Carolina,P012A008,22944,Male,16-34,White
46,South Dakota,P012A008,4959,Male,16-34,White
47,Tennessee,P012A008,32348,Male,16-34,White
48,Texas,P012A008,124477,Male,16-34,White
49,Utah,P012A008,14957,Male,16-34,White
50,Vermont,P012A008,5015,Male,16-34,White
51,Virginia,P012A008,38590,Male,16-34,White
53,Washington,P012A008,34927,Male,16-34,White
54,West Virginia,P012A008,12060,Male,16-34,White
55,Wisconsin,P012A008,33251,Male,16-34,White
56,Wyoming,P012A008,3786,Male,16-34,White
72,Puerto Rico,P012A008,21742,Male,16-34,White
01,Alabama,P012A009,21449,Male,16-34,White
02,Alaska,P012A009,3608,Male,16-34,White
04,Arizona,P012A009,30489,Male,16-34,White
05,Arkansas,P012A009,14744,Male,16-34,White
06,California,P012A009,150325,Male,16-34,White
08,Colorado,P012A009,27238,Male,16-34,White
09,Connecticut,P012A009,16767,Male,16-34,White
10,Delaware,P012A009,4338,Male,16-34,White
11,District of Columbia,P012A009,2413,Male,16-34,White
12,Florida,P012A009,85939,Male,16-34,White
13,Georgia,P012A009,37730,Male,16-34,White
15,Hawaii,P012A009,3276,Male,16-34,White
16,Idaho,P012A009,9156,Male,16-34,White
17,Illinois,P012A009,58429,Male,16-34,White
18,Indiana,P012A009,38697,Male,16-34,White
19,Iowa,P012A009,19693,Male,16-34,White
20,Kansas,P012A009,16725,Male,16-34,White
21,Kentucky,P012A009,24839,Male,16-34,White
22,Louisiana,P012A009,19357,Male,16-34,White
23,Maine,P012A009,7810,Male,16-34,White
24,Maryland,P012A009,21307,Male,16-34,White
25,Massachusetts,P012A009,35647,Male,16-34,White
26,Michigan,P012A009,52669,Male,16-34,White
27,Minnesota,P012A009,28532,Male,16-34,White
28,Mississippi,P012A009,11891,Male,16-34,White
29,Missouri,P012A009,33089,Male,16-34,White
30,Montana,P012A009,6054,Male,16-34,White
31,Nebraska,P012A009,10875,Male,16-34,White
32,Nevada,P012A009,10271,Male,16-34,White
33,New Hampshire,P012A009,8382,Male,16-34,White
34,New Jersey,P012A009,34115,Male,16-34,White
35,New Mexico,P012A009,8711,Male,16-34,White
36,New York,P012A009,85359,Male,16-34,White
37,North Carolina,P012A009,44677,Male,16-34,White
38,North Dakota,P012A009,5427,Male,16-34,White
39,Ohio,P012A009,62862,Male,16-34,White
40,Oklahoma,P012A009,18493,Male,16-34,White
41,Oregon,P012A009,20026,Male,16-34,White
42,Pennsylvania,P012A009,70903,Male,16-34,White
44,Rhode Island,P012A009,7074,Male,16-34,White
45,South Carolina,P012A009,21653,Male,16-34,White
46,South Dakota,P012A009,4903,Male,16-34,White
47,Tennessee,P012A009,30925,Male,16-34,White
48,Texas,P012A009,120913,Male,16-34,White
49,Utah,P012A009,18388,Male,16-34,White
50,Vermont,P012A009,4649,Male,16-34,White
51,Virginia,P012A009,38314,Male,16-34,White
53,Washington,P012A009,33895,Male,16-34,White
54,West Virginia,P012A009,11258,Male,16-34,White
55,Wisconsin,P012A009,32342,Male,16-34,White
56,Wyoming,P012A009,3631,Male,16-34,White
72,Puerto Rico,P012A009,19860,Male,16-34,White
01,Alabama,P012A010,61606,Male,16-34,White
02,Alaska,P012A010,11570,Male,16-34,White
04,Arizona,P012A010,88750,Male,16-34,White
05,Arkansas,P012A010,42276,Male,16-34,White
06,California,P012A010,451049,Male,16-34,White
08,Colorado,P012A010,85745,Male,16-34,White
09,Connecticut,P012A010,48913,Male,16-34,White
10,Delaware,P012A010,11672,Male,16-34,White
11,District of Columbia,P012A010,9048,Male,16-34,White
12,Florida,P012A010,252014,Male,16-34,White
13,Georgia,P012A010,112571,Male,16-34,White
15,Hawaii,P012A010,10391,Male,16-34,White
16,Idaho,P012A010,28487,Male,16-34,White
17,Illinois,P012A010,181356,Male,16-34,White
18,Indiana,P012A010,106025,Male,16-34,White
19,Iowa,P012A010,54453,Male,16-34,White
20,Kansas,P012A010,49450,Male,16-34,White
21,Kentucky,P012A010,73156,Male,16-34,White
22,Louisiana,P012A010,59564,Male,16-34,White
23,Maine,P012A010,21611,Male,16-34,White
24,Maryland,P012A010,64857,Male,16-34,White
25,Massachusetts,P012A010,103857,Male,16-34,White
26,Michigan,P012A010,147271,Male,16-34,White
27,Minnesota,P012A010,86932,Male,16-34,White
28,Mississippi,P012A010,33418,Male,16-34,White
29,Missouri,P012A010,97199,Male,16-34,White
30,Montana,P012A010,17886,Male,16-34,White
31,Nebraska,P012A010,32303,Male,16-34,White
32,Nevada,P012A010,33120,Male,16-34,White
33,New Hampshire,P012A010,22408,Male,16-34,White
34,New Jersey,P012A010,105341,Male,16-34,White
35,New Mexico,P012A010,26610,Male,16-34,White
36,New York,P012A010,254082,Male,16-34,White
37,North Carolina,P012A010,125011,Male,16-34,White
38,North Dakota,P012A010,16057,Male,16-34,White
39,Ohio,P012A010,178226,Male,16-34,White
40,Oklahoma,P012A010,55006,Male,16-34,White
41,Oregon,P012A010,59816,Male,16-34,White
42,Pennsylvania,P012A010,195821,Male,16-34,White
44,Rhode Island,P012A010,16846,Male,16-34,White
45,South Carolina,P012A010,59014,Male,16-34,White
46,South Dakota,P012A010,14273,Male,16-34,White
47,Tennessee,P012A010,90351,Male,16-34,White
48,Texas,P012A010,368127,Male,16-34,White
49,Utah,P012A010,60962,Male,16-34,White
50,Vermont,P012A010,11432,Male,16-34,White
51,Virginia,P012A010,114389,Male,16-34,White
53,Washington,P012A010,102493,Male,16-34,White
54,West Virginia,P012A010,31158,Male,16-34,White
55,Wisconsin,P012A010,95504,Male,16-34,White
56,Wyoming,P012A010,11033,Male,16-34,White
72,Puerto Rico,P012A010,55094,Male,16-34,White
01,Alabama,P012A011,99218,Male,16-34,White
02,Alaska,P012A011,19771,Male,16-34,White
04,Arizona,P012A011,151949,Male,16-34,White
05,Arkansas,P012A011,70203,Male,16-34,White
06,California,P012A011,755239,Male,16-34,White
08,Colorado,P012A011,151179,Male,16-34,White
09,Connecticut,P012A011,74977,Male,16-34,White
10,Delaware,P012A011,18478,Male,16-34,White
11,District of Columbia,P012A011,18426,Male,16-34,White
12,Florida,P012A011,411377,Male,16-34,White
13,Georgia,P012A011,187230,Male,16-34,White
15,Hawaii,P012A011,15760,Male,16-34,White
16,Idaho,P012A011,47204,Male,16-34,White
17,Illinois,P012A011,314211,Male,16-34,White
18,Indiana,P012A011,171118,Male,16-34,White
19,Iowa,P012A011,89497,Male,16-34,White
20,Kansas,P012A011,80893,Male,16-34,White
21,Kentucky,P012A011,121935,Male,16-34,White
22,Louisiana,P012A011,101111,Male,16-34,White
23,Maine,P012A011,33883,Male,16-34,White
24,Maryland,P012A011,106773,Male,16-34,White
25,Massachusetts,P012A011,163444,Male,16-34,White
26,Michigan,P012A011,228266,Male,16-34,White
27,Minnesota,P012A011,153025,Male,16-34,White
28,Mississippi,P012A011,55213,Male,16-34,White
29,Missouri,P012A011,163610,Male,16-34,White
30,Montana,P012A011,29153,Male,16-34,White
31,Nebraska,P012A011,54473,Male,16-34,White
32,Nevada,P012A011,62091,Male,16-34,White
33,New Hampshire,P012A011,33790,Male,16-34,White
34,New Jersey,P012A011,170902,Male,16-34,White
35,New Mexico,P012A011,45261,Male,16-34,White
36,New York,P012A011,417877,Male,16-34,White
37,North Carolina,P012A011,201333,Male,16-34,White
38,North Dakota,P012A011,23241,Male,16-34,White
39,Ohio,P012A011,289362,Male,16-34,White
40,Oklahoma,P012A011,93062,Male,16-34,White
41,Oregon,P012A011,106866,Male,16-34,White
42,Pennsylvania,P012A011,307110,Male,16-34,White
44,Rhode Island,P012A011,24718,Male,16-34,White
45,South Carolina,P012A011,94431,Male,16-34,White
46,South Dakota,P012A011,23963,Male,16-34,White
47,Tennessee,P012A011,152205,Male,16-34,White
48,Texas,P012A011,625094,Male,16-34,White
49,Utah,P012A011,100124,Male,16-34,White
50,Vermont,P012A011,16572,Male,16-34,White
51,Virginia,P012A011,185786,Male,16-34,White
53,Washington,P012A011,179061,Male,16-34,White
54,West Virginia,P012A011,50511,Male,16-34,White
55,Wisconsin,P012A011,155810,Male,16-34,White
56,Wyoming,P012A011,19205,Male,16-34,White
72,Puerto Rico,P012A011,87445,Male,16-34,White
01,Alabama,P012A012,96583,Male,16-34,White
02,Alaska,P012A012,17170,Male,16-34,White
04,Arizona,P012A012,143800,Male,16-34,White
05,Arkansas,P012A012,68275,Male,16-34,White
06,California,P012A012,700599,Male,16-34,White
08,Colorado,P012A012,142773,Male,16-34,White
09,Connecticut,P012A012,70570,Male,16-34,White
10,Delaware,P012A012,16887,Male,16-34,White
11,District of Columbia,P012A012,14344,Male,16-34,White
12,Florida,P012A012,388623,Male,16-34,White
13,Georgia,P012A012,183099,Male,16-34,White
15,Hawaii,P012A012,12998,Male,16-34,White
16,Idaho,P012A012,45452,Male,16-34,White
17,Illinois,P012A012,297630,Male,16-34,White
18,Indiana,P012A012,166743,Male,16-34,White
19,Iowa,P012A012,83374,Male,16-34,White
20,Kansas,P012A012,73522,Male,16-34,White
21,Kentucky,P012A012,121341,Male,16-34,White
22,Louisiana,P012A012,91201,Male,16-34,White
23,Maine,P012A012,33606,Male,16-34,White
24,Maryland,P012A012,95929,Male,16-34,White
25,Massachusetts,P012A012,147845,Male,16-34,White
26,Michigan,P012A012,219528,Male,16-34,White
27,Minnesota,P012A012,143238,Male,16-34,White
28,Mississippi,P012A012,52828,Male,16-34,White
29,Missouri,P012A012,151747,Male,16-34,White
30,Montana,P012A012,26849,Male,16-34,White
31,Nebraska,P012A012,48855,Male,16-34,White
32,Nevada,P012A012,61377,Male,16-34,White
33,New Hampshire,P012A012,32076,Male,16-34,White
34,New Jersey,P012A012,167514,Male,16-34,White
35,New Mexico,P012A012,41644,Male,16-34,White
36,New York,P012A012,387524,Male,16-34,White
37,North Carolina,P012A012,197627,Male,16-34,White
38,North Dakota,P012A012,19062,Male,16-34,White
39,Ohio,P012A012,279315,Male,16-34,White
40,Oklahoma,P012A012,84990,Male,16-34,White
41,Oregon,P012A012,105101,Male,16-34,White
42,Pennsylvania,P012A012,285738,Male,16-34,White
44,Rhode Island,P012A012,22772,Male,16-34,White
45,South Carolina,P012A012,91082,Male,16-34,White
46,South Dakota,P012A012,21588,Male,16-34,White
47,Tennessee,P012A012,150456,Male,16-34,White
48,Texas,P012A012,589505,Male,16-34,White
49,Utah,P012A012,93878,Male,16-34,White
50,Vermont,P012A012,15926,Male,16-34,White
51,Virginia,P012A012,170199,Male,16-34,White
53,Washington,P012A012,168146,Male,16-34,White
54,West Virginia,P012A012,52406,Male,16-34,White
55,Wisconsin,P012A012,147824,Male,16-34,White
56,Wyoming,P012A012,16838,Male,16-34,White
72,Puerto Rico,P012A012,87490,Male,16-34,White
01,Alabama,P012A013,104467,Male,35-54,White
02,Alaska,P012A013,16600,Male,35-54,White
04,Arizona,P012A013,146974,Male,35-54,White
05,Arkansas,P012A013,70171,Male,35-54,White
06,California,P012A013,705148,Male,35-54,White
08,Colorado,P012A013,145506,Male,35-54,White
09,Connecticut,P012A013,79114,Male,35-54,White
10,Delaware,P012A013,17699,Male,35-54,White
11,District of Columbia,P012A013,10448,Male,35-54,White
12,Florida,P012A013,425054,Male,35-54,White
13,Georgia,P012A013,200367,Male,35-54,White
15,Hawaii,P012A013,12162,Male,35-54,White
16,Idaho,P012A013,42972,Male,35-54,White
17,Illinois,P012A013,295253,Male,35-54,White
18,Indiana,P012A013,173933,Male,35-54,White
19,Iowa,P012A013,79993,Male,35-54,White
20,Kansas,P012A013,70744,Male,35-54,White
21,Kentucky,P012A013,125033,Male,35-54,White
22,Louisiana,P012A013,88299,Male,35-54,White
23,Maine,P012A013,37224,Male,35-54,White
24,Maryland,P012A013,98762,Male,35-54,White
25,Massachusetts,P012A013,156563,Male,35-54,White
26,Michigan,P012A013,233520,Male,35-54,White
27,Minnesota,P012A013,136708,Male,35-54,White
28,Mississippi,P012A013,55305,Male,35-54,White
29,Missouri,P012A013,149986,Male,35-54,White
30,Montana,P012A013,25366,Male,35-54,White
31,Nebraska,P012A013,46962,Male,35-54,White
32,Nevada,P012A013,62842,Male,35-54,White
33,New Hampshire,P012A013,37244,Male,35-54,White
34,New Jersey,P012A013,182345,Male,35-54,White
35,New Mexico,P012A013,40467,Male,35-54,White
36,New York,P012A013,388449,Male,35-54,White
37,North Carolina,P012A013,220182,Male,35-54,White
38,North Dakota,P012A013,17159,Male,35-54,White
39,Ohio,P012A013,292856,Male,35-54,White
40,Oklahoma,P012A013,83301,Male,35-54,White
41,Oregon,P012A013,102986,Male,35-54,White
42,Pennsylvania,P012A013,304312,Male,35-54,White
44,Rhode Island,P012A013,24699,Male,35-54,White
45,South Carolina,P012A013,98030,Male,35-54,White
46,South Dakota,P012A013,19749,Male,35-54,White
47,Tennessee,P012A013,161705,Male,35-54,White
48,Texas,P012A013,593560,Male,35-54,White
49,Utah,P012A013,76501,Male,35-54,White
50,Vermont,P012A013,17051,Male,35-54,White
51,Virginia,P012A013,178535,Male,35-54,White
53,Washington,P012A013,168759,Male,35-54,White
54,West Virginia,P012A013,55133,Male,35-54,White
55,Wisconsin,P012A013,147337,Male,35-54,White
